year,journal,doi,arxiv number,primary arxiv category,total number of authors,total number of ORCIDs linked to the authors,total number of affiliations,total number of ROR linked with the affiliations,"total number of related materials, type dataset","total number of related materials, type software"
2024,Journal of High Energy Physics,10.1007/JHEP12(2024)180,2408.16819,hep-th,2,2,2,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP12(2024)175,2408.03380,hep-ph,4,4,4,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP12(2024)176,2409.02210,hep-ph,3,3,3,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP12(2024)179,2409.12260,hep-ph,3,3,4,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP12(2024)177,2410.00112,hep-lat,3,3,4,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP12(2024)209,2409.17218,hep-th,4,1,4,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP12(2024)187,2408.15315,hep-th,1,1,1,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP12(2024)174,2408.13803,hep-th,5,5,9,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP12(2024)184,1907.06495,hep-th,2,2,3,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP12(2024)182,2406.00666,hep-th,2,2,2,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP12(2024)202,2407.09479,hep-th,5,5,6,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP12(2024)205,2409.17232,hep-ph,2,2,2,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13559-y,,,4,1,5,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13552-5,,,2,1,4,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13536-5,2310.20114,gr-qc,4,0,4,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13508-9,2407.15577,hep-ph,2,0,2,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP11(2024)095,2410.01357,hep-ph,3,0,4,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP12(2024)172,2407.20425,hep-ex,2378,0,2594,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP12(2024)166,2312.15828,hep-ph,3,3,5,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP12(2024)145,2312.15014,hep-th,3,3,4,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP12(2024)163,2405.02775,hep-th,3,3,3,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP12(2024)155,2410.00094,hep-th,2,2,2,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP12(2024)170,2408.13067,gr-qc,2,2,3,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP12(2024)161,2405.13150,hep-th,2,2,4,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP12(2024)152,2407.11884,hep-th,2,2,2,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP12(2024)171,2404.03406,hep-th,1,1,1,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP11(2024)047,2404.12915,hep-ex,2888,0,3069,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13465-3,,,4,0,5,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13505-y,,,7,0,7,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP11(2024)165,2406.13738,hep-th,5,4,5,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP12(2024)228,2409.00796,hep-lat,4,4,4,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13540-9,,,1,0,1,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13524-9,,,3,0,3,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13527-6,,,4,1,7,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13521-y,,,4,0,7,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13503-0,,,4,0,4,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13572-1,,,2,2,2,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13459-1,,,2,0,8,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13548-1,,,3,0,5,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13567-y,,,2,0,2,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13582-z,2307.01336,hep-ph,2,0,3,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13563-2,,,3,1,4,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13386-1,2407.09611,hep-ph,6,0,9,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13472-4,,,59,0,74,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13475-1,,,5,0,5,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13570-3,2407.13828,hep-ph,2,0,3,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13376-3,,,34,0,44,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13517-8,,,2,0,2,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13537-4,,,1,0,1,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13525-8,,,1,1,1,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13507-w,,,2,1,5,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13599-4,,,2,1,2,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13561-4,,,4,1,5,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13532-9,,,2,1,2,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13558-z,,,1,0,1,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13568-x,,,7,0,9,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13523-w,,,3,0,4,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP11(2024)112,2408.00632,hep-ph,4,4,4,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13566-z,,,2,2,2,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13533-8,,,6,0,6,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13549-0,,,3,3,3,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP11(2024)046,2403.13065,hep-ph,5,5,11,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13591-y,,,4,2,5,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13545-4,,,3,0,4,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13579-8,,,2,0,4,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP11(2024)102,2408.01389,hep-ph,3,3,3,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13574-z,,,1,0,2,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13575-y,,,2,0,2,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13550-7,2406.18828,astro-ph.CO,6,6,7,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP11(2024)123,2408.05137,hep-ph,5,5,5,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP11(2024)106,2407.19856,hep-ph,4,4,4,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP11(2024)119,2408.03980,hep-ex,672,0,974,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP11(2024)124,2407.04128,hep-th,3,3,5,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP11(2024)101,2405.05078,nucl-ex,2902,0,3086,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13556-1,,,3,0,3,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13589-6,,,3,0,3,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13595-8,,,6,1,8,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13580-1,,,4,0,5,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP11(2024)121,2406.17006,hep-ex,1118,0,1251,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP11(2024)114,2408.16812,hep-ph,3,3,3,0,0,0
